EAR_ID,EAR_HISTORY,STATE
1696254042.8755503,0.273115002647961#0.298065098813415#0.295193139624752#0.285311918907884#0.273284957226308#0.272264975615467#0.270716273202265#0.246838459050808#0.251847977373134#0.260478355373374#0.266784411119238#0.28925914187789#0.289039130857388#0.286309849942495#0.258463652802464#0.293137698761267#0.277214590239366#0.330786789197896#0.294033483391386#0.309456042681913#0.30884826061323#0.267676013610361#0.273753100894698#0.264953071361602#0.269053488099924#0.241908883157625#0.271950772973674#0.260542795152947#0.26103758673712#0.250856075795827#0.270444765776966#0.237620468272445#0.234060716548975#0.286452840092513#0.267525528544892#0.243076511029052#0.282614637530078#0.226502477413667#0.253645309826983#0.136708759127815#0.13238165826074#0.124203702498818#0.277103370897775,abnormal
1696254044.5415695,0.301207654959218#0.307787791763182#0.311413854092196#0.290685787590135#0.299152135337191#0.285582465601821#0.306529256255108#0.323990547240898#0.302931989551957#0.26979591290031#0.29608513794199#0.304705478653008#0.282791767676881#0.297498946558906#0.282354596655041#0.305837758851642#0.305556454110928#0.321858010090663#0.168684157390992#0.21962913048582#0.254334449193116#0.280263412563628,abnormal
1696254045.236556,0.26761178577446#0.293625141033488#0.311825005263587#0.265571359291394#0.166287447241979#0.115241657731271#0.212814054856205#0.202896601506475#0.228167775033961#0.316004639208454,abnormal
1696254057.1755776,0.29051238165625#0.269627505355287#0.29127175103811#0.276547267319542#0.260530384313718#0.259566316304064#0.270585318714654#0.295898479965075#0.292990754367479#0.236543138370446#0.308550261207938#0.287227134800913#0.258985406918056#0.272770145113647#0.242904197534394#0.274512938224197#0.234741497575834#0.283199085126857#0.280025619657707#0.291546426580651#0.250727214847945#0.250998908177928#0.292248179031225#0.255654747528254#0.278036322006044#0.26060370523872#0.240172456921529#0.267876915907585#0.24125697976989#0.237601158873678#0.255175755302981#0.257527708920641#0.25554275894756#0.26197876992525#0.275520199965444#0.262552255886189#0.286964422811885#0.275823008753264#0.268498933646182#0.289701598721507#0.27262290095489#0.28769779865408#0.268942009321112#0.266438124981609#0.286850275368498#0.270073967129065#0.286964422811885#0.280684058139269#0.266389761703058#0.319410869844179#0.275687060037371#0.276204350414728#0.271847891056875#0.26638029165803#0.250988056264336#0.258651825896137#0.249828272569921#0.245090323318535#0.26354182625406#0.225979925953602#0.1225265713326#0.203091478564964#0.189755002621097#0.19836899700418#0.24483544391018#0.217876846740182#0.215529829414171#0.244638823808226#0.245142728683544#0.249370711288154#0.242129795070018#0.254575834598799#0.252084278921688#0.250867202689596#0.221057284914964#0.23245580361543#0.222538319381897#0.17793909321117#0.187787047968934#0.230753327846885#0.206704943745328#0.219082239475024#0.214362732480921#0.196764379141422#0.18075821775319#0.235516430814644#0.222216314707375#0.225851398050994#0.225863225407716#0.174141119271958#0.187986479907477#0.250001253009174#0.134947808583011#0.115290818816318#0.177506191517425#0.181973222403349#0.158582812574414#0.130541551174287#0.182949480134647#0.197340769611668#0.212423924119741#0.241681746614004#0.155580716774667#0.163632753122059#0.183936206134996#0.217890791630213#0.220931299545971#0.224093586898097#0.256630576651941#0.243992627787069#0.223500028022563#0.240549498367257#0.264209020187845#0.136247958068453#0.142613954541077#0.124438505101336#0.140742591746602#0.24102202491151#0.207481615831623#0.211684900062695#0.22756852500054#0.237829827803115#0.240799144230441#0.268161837755246#0.267196012034554#0.260353957256565#0.253688039012336#0.258852053464751#0.262794939512131#0.260791355695829#0.242497270908768#0.239632274618952#0.252959706812657#0.244437632422682#0.254744746036527#0.259868936608505#0.231173099604268#0.223583220728894#0.205534483627846#0.23050314011839#0.222814300165773#0.245084055008763#0.199569070903362#0.248723415592645#0.206991355494009#0.214452907753522#0.228339863134267#0.240380203378457#0.264344216062037#0.25571951530544#0.247107458091282#0.247719300823362#0.289334634728441,abnormal
1696254059.881412,0.261965090155752#0.289114362806559#0.264911858812888#0.285674361637137#0.262748132357285#0.250865296218888#0.241699500670102#0.215734925531502#0.22176912705116#0.246681582414871#0.248744930513187#0.273970773903949#0.254780954784622#0.243936008708345#0.243406304122046#0.232581066758493#0.25131663394988#0.218170800482739#0.234049064808327#0.234559868776599#0.213120556824539#0.266270659456446#0.19192347110083#0.124682576965088#0.142852822179348#0.163804553428117#0.238319832320741#0.254907219708618#0.235687332860725#0.234378371998396#0.231782527869535#0.23578176269596#0.213534399891581#0.245623600510861#0.259413596276883#0.285655277329941,abnormal
1696254062.8849285,0.245876793153229#0.199411424943097#0.241532960553766#0.232491549129752#0.200218474286507#0.239529539784116#0.0939557241529113#0.111980599287335#0.101387528806689#0.106953864602303#0.0789887985149151#0.163350919746694#0.207216144282895#0.264199994314406#0.245746145231619#0.248912294582533#0.246860478674219#0.267724054184398#0.244806434466518#0.269963777159272#0.26555900120174#0.258242522916041#0.250059617170401#0.271914823902656#0.273079061668004#0.26197876992525#0.267416458983729#0.260001086468025#0.272272154489151#0.275353775371201#0.112090972548773#0.102240111202586#0.075002714343923#0.10032970620008#0.160220901985772#0.197642565596876#0.255171188588343#0.264868129309936#0.274002335386351#0.295557704208861,normal
1696254065.5302575,0.279225986246935#0.288530856683024#0.267046523778763#0.27633662686225#0.24865961333359#0.283040861936832#0.262938632166109#0.254079998064239#0.260315344242605#0.291332172919811#0.248912294582533#0.262748388012598#0.292397492186865#0.254831150888855#0.273484279664151#0.231537326589742#0.281200150526979#0.262098927327819#0.258012145562567#0.271085808315843#0.287564584914698#0.262554533300703#0.242461226517589#0.287184773394068#0.273374718591842#0.277669824299861#0.104327431126513#0.0803175672303696#0.0934449833154282#0.109891842732601#0.141321286270762#0.11062636406657#0.266037965262326#0.295989796675463,abnormal
1696254069.0312555,0.28851660083723#0.258951515967696#0.282186100058597#0.230503830520344#0.274867238119767#0.253863325804644#0.246616806666961#0.260857547519158#0.277998946870315#0.271009430209196#0.243962194293844#0.289077564292177#0.244992133021059#0.275353775371201#0.2595433848215#0.264158119669725#0.282891715902229#0.227330892680877#0.268149332852482#0.221939886327152#0.260001086468025#0.254350129235192#0.245025050196803#0.221599140693132#0.272853760602787#0.211363966075539#0.26310695801498#0.232623244608412#0.226108311570331#0.230215457205301#0.230321152908785#0.27593186585335#0.254086214321494#0.263975670360216#0.131453613155466#0.186315854291655#0.237976613679221#0.237611862168384#0.262053473472337#0.229093243821251#0.20859415998128#0.265341790237811#0.255618523250325#0.233874181265607#0.28298507070922,abnormal
1696254069.481256,0.258368374443471#0.23865322502891#0.228737846785102#0.120669560313562#0.194523599854879#0.315281771810236,abnormal
1696254078.267262,0.326635237156496#0.279591094183986#0.315571049782016#0.306856909789983#0.301682412601035#0.294611177554879#0.305385979889641#0.300170251113835#0.270491012147964#0.267759209099113#0.287775999719763#0.258076865219559#0.258253183688984#0.272073177918624#0.301756775537331#0.310163078556444#0.268611764986241#0.263664225141639#0.257293931625297#0.256878265552993#0.25505212514549#0.237693589120265#0.279117276713666#0.275609891636301#0.276924960774851#0.276712601661318#0.250939400817928#0.275774047996296#0.294612893039215#0.271589932492645#0.310289599227419#0.298365726394229#0.221322194538981#0.259178685613814#0.277435471948818#0.232914127930148#0.287066988841468#0.296498974661911#0.276991807979055#0.249368619061139#0.144459970772191#0.123214687209361#0.162496298990948#0.221420066176872#0.213857666380939#0.204340495846939#0.205729783840965#0.202293601025564#0.215955087171535#0.22507229458418#0.213125595455278#0.23126259046245#0.258862139645163#0.251954497479748#0.221509298384433#0.23466441810154#0.176029936265283#0.245201424321154#0.199587995951654#0.190225887229161#0.260723780798509#0.243227251649961#0.160929832312842#0.200473347926434#0.212798481023638#0.232175156554885#0.191567891148391#0.202478268774678#0.217366631437795#0.198423690155498#0.186986096428136#0.216569394311595#0.207598823459214#0.210689834481364#0.210413866125786#0.20859399409879#0.080813031926315#0.070074935290465#0.188434475650559#0.19992941685978#0.179653785337364#0.154964518676897#0.173107782852513#0.245084055008763#0.260968619261808#0.254928966871272#0.26042772278125#0.266637485066002#0.266758455074486#0.236576189201596#0.250460268906745#0.250235521785597#0.242181511467037#0.269534303804035#0.25579493985446#0.0846192429104648#0.131745578098109#0.0774351858164178#0.254130388688863#0.231865865165739#0.267093845278929#0.255067325523572#0.269979380020377#0.253992225887416#0.232966288904557#0.264554015841435#0.263164107118962#0.270855332649281#0.268959128255146#0.248361177443829#0.287893793249819,normal
1696254084.7431817,0.256776195742809#0.258625503692145#0.273255704514653#0.266585980036711#0.282725802479446#0.272969913875871#0.270362633156293#0.268185717361089#0.25940796840358#0.283077629132537#0.277120026143458#0.26428990872752#0.245706191321819#0.263189348578106#0.267811107999546#0.24963645191216#0.251922204862427#0.249544061393012#0.278812076438204#0.258966470041#0.288054510182948#0.240517046506051#0.211027222397667#0.0918031548337915#0.113519580245093#0.113519580245093#0.174330669431103#0.219526892566377#0.196032977895577#0.228659376707333#0.242515065358621#0.251417873212191#0.217047528945835#0.202786072151405#0.190058588242834#0.212767459120824#0.232953179319064#0.24534183711671#0.174324933383737#0.241612935009686#0.215251090603788#0.215673227385663#0.239132015247021#0.253629924499063#0.231337437298086#0.257138268379886#0.248982439164171#0.231066453507448#0.226172383300204#0.222709869907115#0.245849763134941#0.210004657639982#0.228556276284121#0.224597976396761#0.221523664639495#0.226862449024843#0.23608240657184#0.246064390070397#0.101810561629985#0.0947827542180876#0.13783069722386#0.0854709232689865#0.204138536560073#0.208693837768941#0.188640746630637#0.210070405089455#0.233448935478477#0.259121272104416#0.248080314819315#0.274398848774452#0.254247873971123#0.234370723757275#0.263810571107351#0.224360573584647#0.266896932543836#0.262885220765702#0.245137937122082#0.268038290176523#0.274231198658076#0.262572227481381#0.247202758810415#0.249708952569298#0.27979795403231,abnormal
1696254086.560161,0.237752542762232#0.252291743154334#0.25415168692182#0.24756980654185#0.197907957065991#0.250243329842081#0.256819135345197#0.254252134162243#0.266470056924804#0.265433085570174#0.243321636217005#0.269223245575892#0.229292609845102#0.193797200202601#0.139265675015412#0.0850658528897499#0.0851276062477225#0.126983242378632#0.107807606352533#0.0977395001741979#0.114814573897998#0.125236596384791#0.138708302818868#0.291025011367103,abnormal
1696254087.2075868,0.277936333957554#0.264841142081171#0.30638873007144#0.276943616248343#0.0972173966350519#0.0800862283869299#0.273011581346327#0.263512789031508#0.288553403369829,abnormal
1696254090.339574,0.28076072259901#0.279173884279467#0.279758045494235#0.274881386124298#0.281883997082217#0.272063825355224#0.262233731265901#0.306317286115808#0.275535802790565#0.26103758673712#0.295261510700122#0.285614319686223#0.274804632590324#0.254213987025226#0.264935581978799#0.265872214001694#0.274440891536682#0.247412789046623#0.279713191705382#0.260021795329824#0.239032986058162#0.282798109307971#0.257455136271563#0.288863937562998#0.28196866692788#0.273430346518221#0.26037718113485#0.251716738987023#0.26584349998707#0.255954167222353#0.263571663376936#0.250222406919963#0.138437186172869#0.0848911588852214#0.154245585703773#0.104935859292398#0.147137879141337#0.136898123784352#0.228709192654621#0.232248594545328#0.298175459690226,abnormal
1696254095.1475954,0.296965227627416#0.293589095854472#0.303752900367442#0.29933759520474#0.297665028124833#0.31822453610797#0.317772772939988#0.29932372695854#0.299587327034655#0.272353301758442#0.296904219068496#0.281740404609072#0.274507620687598#0.30159450158286#0.292728320825774#0.288918897359596#0.286750863164163#0.284286379409288#0.31423409788859#0.282473687366456#0.271084220123466#0.291278034718046#0.285029401199658#0.293299701338684#0.306314113668178#0.305909948088007#0.28171115220963#0.288289175667203#0.281071069480779#0.284770661172541#0.285676032852494#0.302666844198203#0.289855258918233#0.273255704514653#0.30420844532313#0.292410257492268#0.317712467037451#0.262356428960696#0.263849203115367#0.25825534508241#0.247627377755399#0.258142598635994#0.269500619272334#0.293622704101459#0.293949048841741#0.292566657267838#0.313016256703051#0.316120166749488#0.305074500837223#0.279911117540927#0.296066014399476#0.273739811690782#0.158549449278609#0.156574560773391#0.108017739860916#0.100537348123392#0.283932493538511,abnormal
1696254097.5345669,0.279311667082144#0.279554474534942#0.305101473614427#0.282440539367927#0.295031084676238#0.305858251193381#0.234516320618217#0.247597882809686#0.235457359894661#0.272591966267555#0.291064274951501#0.296461783573246#0.25400289453062#0.257897937351227#0.259892643785704#0.25424383518135#0.267914459516838#0.234155062319739#0.263055020623099#0.255624535264214#0.250102273865427#0.249933093318942#0.290453487587025#0.292441233738526#0.295483280454251#0.274939389237911#0.272600060980242#0.113431328635589#0.162545491850552#0.253933593943075#0.325423085324811,abnormal
1696254098.2395685,0.30702843924232#0.308741455139897#0.290656997500613#0.296878837846563#0.10248971204409#0.0966929581467683#0.240313668208386#0.26454946534393#0.257571617943142#0.245059705151707#0.289509608195342,abnormal
