id,EAR,count,sequence_id,date,start_date,end_date
1,0.262828827822849,0,20230925023x,2023-09-25,02:33:41,02:33:42
2,0.262581533461612,0,20230925023x,2023-09-25,02:33:42,02:33:42
3,0.235293670599096,0,20230925023x,2023-09-25,02:33:42,02:33:42
4,0.235293670599096,0,20230925023x,2023-09-25,02:33:42,02:33:42
5,0.249789619751587,0,20230925023x,2023-09-25,02:33:42,02:33:42
6,0.249789619751587,0,20230925023x,2023-09-25,02:33:42,02:33:42
7,0.249789619751587,0,20230925023x,2023-09-25,02:33:42,02:33:42
8,0.233229778901014,0,20230925023x,2023-09-25,02:33:42,02:33:42
9,0.233229778901014,0,20230925023x,2023-09-25,02:33:42,02:33:42
10,0.25562103858392,0,20230925023x,2023-09-25,02:33:42,02:33:42
11,0.25562103858392,0,20230925023x,2023-09-25,02:33:42,02:33:42
12,0.243863718688119,0,20230925023x,2023-09-25,02:33:42,02:33:42
13,0.243863718688119,0,20230925023x,2023-09-25,02:33:42,02:33:42
14,0.243863718688119,0,20230925023x,2023-09-25,02:33:42,02:33:42
15,0.217647989857248,0,20230925023x,2023-09-25,02:33:42,02:33:42
16,0.217647989857248,0,20230925023x,2023-09-25,02:33:42,02:33:42
17,0.229619890302137,0,20230925023x,2023-09-25,02:33:42,02:33:42
18,0.229619890302137,0,20230925023x,2023-09-25,02:33:42,02:33:42
19,0.253431987113128,0,20230925023x,2023-09-25,02:33:42,02:33:42
20,0.253431987113128,0,20230925023x,2023-09-25,02:33:42,02:33:42
21,0.257784800133471,0,20230925023x,2023-09-25,02:33:42,02:33:42
22,0.257784800133471,0,20230925023x,2023-09-25,02:33:42,02:33:42
23,0.235526948217669,0,20230925023x,2023-09-25,02:33:42,02:33:42
24,0.235526948217669,0,20230925023x,2023-09-25,02:33:42,02:33:42
25,0.235526948217669,0,20230925023x,2023-09-25,02:33:42,02:33:42
26,0.246267812518166,0,20230925023x,2023-09-25,02:33:42,02:33:42
27,0.246267812518166,0,20230925023x,2023-09-25,02:33:42,02:33:42
28,0.236090292750665,0,20230925023x,2023-09-25,02:33:42,02:33:42
29,0.236090292750665,0,20230925023x,2023-09-25,02:33:42,02:33:42
30,0.239341217849794,0,20230925023x,2023-09-25,02:33:42,02:33:42
