id,count,sequence_id,date,start_date,end_date
1,0,20231011044x,2023-10-11,04:44:03,04:44:04
2,2,20231011044x,2023-10-11,04:44:05,04:44:05
3,1,20231011044x,2023-10-11,04:44:06,04:44:06
4,0,20231011044x,2023-10-11,04:44:07,04:44:07
5,0,20231011044x,2023-10-11,04:44:08,04:44:08
6,0,20231011044x,2023-10-11,04:44:09,04:44:09
7,1,20231011044x,2023-10-11,04:44:10,04:44:10
8,1,20231011044x,2023-10-11,04:44:11,04:44:11
9,0,20231011044x,2023-10-11,04:44:12,04:44:12
10,0,20231011044x,2023-10-11,04:44:13,04:44:13
11,1,20231011044x,2023-10-11,04:44:14,04:44:14
12,1,20231011044x,2023-10-11,04:44:15,04:44:15
13,0,20231011044x,2023-10-11,04:44:16,04:44:16
14,0,20231011044x,2023-10-11,04:44:17,04:44:17
15,0,20231011044x,2023-10-11,04:44:18,04:44:18
16,1,20231011044x,2023-10-11,04:44:19,04:44:19
17,0,20231011044x,2023-10-11,04:44:20,04:44:20
18,0,20231011044x,2023-10-11,04:44:21,04:44:21
19,0,20231011044x,2023-10-11,04:44:22,04:44:22
20,0,20231011044x,2023-10-11,04:44:23,04:44:23
21,0,20231011044x,2023-10-11,04:44:24,04:44:24
22,0,20231011044x,2023-10-11,04:44:25,04:44:25
23,0,20231011044x,2023-10-11,04:44:26,04:44:26
24,0,20231011044x,2023-10-11,04:44:27,04:44:27
25,1,20231011044x,2023-10-11,04:44:28,04:44:28
26,1,20231011044x,2023-10-11,04:44:29,04:44:29
27,0,20231011044x,2023-10-11,04:44:30,04:44:30
28,0,20231011044x,2023-10-11,04:44:31,04:44:31
29,0,20231011044x,2023-10-11,04:44:32,04:44:32
30,0,20231011044x,2023-10-11,04:44:33,04:44:33
31,0,20231011044x,2023-10-11,04:44:35,04:44:35
32,0,20231011044x,2023-10-11,04:44:36,04:44:36
33,0,20231011044x,2023-10-11,04:44:37,04:44:37
34,0,20231011044x,2023-10-11,04:44:38,04:44:38
35,0,20231011044x,2023-10-11,04:44:39,04:44:39
36,0,20231011044x,2023-10-11,04:44:40,04:44:40
37,0,20231011044x,2023-10-11,04:44:41,04:44:41
38,1,20231011044x,2023-10-11,04:44:42,04:44:42
39,0,20231011044x,2023-10-11,04:44:43,04:44:43
40,0,20231011044x,2023-10-11,04:44:44,04:44:44
41,2,20231011044x,2023-10-11,04:44:45,04:44:45
42,1,20231011044x,2023-10-11,04:44:46,04:44:46
43,0,20231011044x,2023-10-11,04:44:47,04:44:47
44,0,20231011044x,2023-10-11,04:44:48,04:44:48
45,0,20231011044x,2023-10-11,04:44:49,04:44:49
46,2,20231011044x,2023-10-11,04:44:50,04:44:50
47,0,20231011044x,2023-10-11,04:44:51,04:44:51
48,0,20231011044x,2023-10-11,04:44:52,04:44:52
49,0,20231011044x,2023-10-11,04:44:53,04:44:53
50,0,20231011044x,2023-10-11,04:44:54,04:44:54
51,0,20231011044x,2023-10-11,04:44:55,04:44:55
52,0,20231011044x,2023-10-11,04:44:56,04:44:56
53,0,20231011044x,2023-10-11,04:44:57,04:44:57
54,0,20231011044x,2023-10-11,04:44:58,04:44:58
55,1,20231011044x,2023-10-11,04:44:59,04:44:59
56,0,20231011044x,2023-10-11,04:45:00,04:45:00
57,0,20231011044x,2023-10-11,04:45:01,04:45:01
58,0,20231011044x,2023-10-11,04:45:02,04:45:02
59,0,20231011044x,2023-10-11,04:45:03,04:45:03
60,0,20231011044x,2023-10-11,04:45:04,04:45:04
61,0,20231011044x,2023-10-11,04:45:05,04:45:05
62,1,20231011044x,2023-10-11,04:45:06,04:45:06
63,0,20231011044x,2023-10-11,04:45:07,04:45:07
64,0,20231011044x,2023-10-11,04:45:08,04:45:08
65,0,20231011044x,2023-10-11,04:45:09,04:45:09
66,0,20231011044x,2023-10-11,04:45:10,04:45:10
67,0,20231011044x,2023-10-11,04:45:11,04:45:11
68,0,20231011044x,2023-10-11,04:45:12,04:45:12
69,0,20231011044x,2023-10-11,04:45:13,04:45:13
70,1,20231011044x,2023-10-11,04:45:14,04:45:14
71,0,20231011044x,2023-10-11,04:45:15,04:45:15
72,0,20231011044x,2023-10-11,04:45:16,04:45:16
73,0,20231011044x,2023-10-11,04:45:17,04:45:17
74,0,20231011044x,2023-10-11,04:45:18,04:45:18
75,0,20231011044x,2023-10-11,04:45:19,04:45:19
76,0,20231011044x,2023-10-11,04:45:20,04:45:20
77,0,20231011044x,2023-10-11,04:45:21,04:45:21
78,0,20231011044x,2023-10-11,04:45:22,04:45:22
79,0,20231011044x,2023-10-11,04:45:23,04:45:23
80,0,20231011044x,2023-10-11,04:45:24,04:45:24
81,0,20231011044x,2023-10-11,04:45:25,04:45:25
82,0,20231011044x,2023-10-11,04:45:26,04:45:26
83,0,20231011044x,2023-10-11,04:45:27,04:45:27
84,0,20231011044x,2023-10-11,04:45:28,04:45:28
85,0,20231011044x,2023-10-11,04:45:29,04:45:29
86,1,20231011044x,2023-10-11,04:45:30,04:45:30
87,0,20231011044x,2023-10-11,04:45:31,04:45:31
88,0,20231011044x,2023-10-11,04:45:32,04:45:32
89,0,20231011044x,2023-10-11,04:45:33,04:45:33
90,0,20231011044x,2023-10-11,04:45:34,04:45:34
91,0,20231011044x,2023-10-11,04:45:35,04:45:35
92,0,20231011044x,2023-10-11,04:45:36,04:45:36
93,0,20231011044x,2023-10-11,04:45:37,04:45:37
94,0,20231011044x,2023-10-11,04:45:38,04:45:38
95,1,20231011044x,2023-10-11,04:45:39,04:45:39
96,0,20231011044x,2023-10-11,04:45:40,04:45:40
97,0,20231011044x,2023-10-11,04:45:41,04:45:41
98,1,20231011044x,2023-10-11,04:45:42,04:45:42
99,0,20231011044x,2023-10-11,04:45:43,04:45:43
100,0,20231011044x,2023-10-11,04:45:44,04:45:44
101,0,20231011044x,2023-10-11,04:45:45,04:45:45
102,0,20231011044x,2023-10-11,04:45:46,04:45:46
103,1,20231011044x,2023-10-11,04:45:47,04:45:47
104,0,20231011044x,2023-10-11,04:45:48,04:45:48
