id,count,sequence_id,date,start_date,end_date
105,0,20231011044x,2023-10-11,04:45:50,04:45:50
106,0,20231011044x,2023-10-11,04:45:51,04:45:51
107,0,20231011044x,2023-10-11,04:45:52,04:45:52
108,0,20231011044x,2023-10-11,04:45:53,04:45:53
109,0,20231011044x,2023-10-11,04:45:54,04:45:54
110,0,20231011044x,2023-10-11,04:45:55,04:45:55
111,1,20231011044x,2023-10-11,04:45:56,04:45:56
112,0,20231011044x,2023-10-11,04:45:57,04:45:57
113,0,20231011044x,2023-10-11,04:45:58,04:45:58
114,1,20231011044x,2023-10-11,04:45:59,04:45:59
115,0,20231011044x,2023-10-11,04:46:00,04:46:00
116,0,20231011044x,2023-10-11,04:46:01,04:46:01
117,0,20231011044x,2023-10-11,04:46:02,04:46:02
118,0,20231011044x,2023-10-11,04:46:03,04:46:03
119,1,20231011044x,2023-10-11,04:46:04,04:46:04
120,0,20231011044x,2023-10-11,04:46:05,04:46:05
121,0,20231011044x,2023-10-11,04:46:06,04:46:06
122,1,20231011044x,2023-10-11,04:46:07,04:46:07
123,0,20231011044x,2023-10-11,04:46:08,04:46:08
124,0,20231011044x,2023-10-11,04:46:09,04:46:09
125,0,20231011044x,2023-10-11,04:46:10,04:46:10
126,0,20231011044x,2023-10-11,04:46:11,04:46:11
127,0,20231011044x,2023-10-11,04:46:12,04:46:12
128,1,20231011044x,2023-10-11,04:46:13,04:46:13
129,0,20231011044x,2023-10-11,04:46:14,04:46:14
130,0,20231011044x,2023-10-11,04:46:15,04:46:15
131,0,20231011044x,2023-10-11,04:46:16,04:46:16
132,0,20231011044x,2023-10-11,04:46:17,04:46:17
133,0,20231011044x,2023-10-11,04:46:18,04:46:18
134,0,20231011044x,2023-10-11,04:46:19,04:46:19
135,0,20231011044x,2023-10-11,04:46:20,04:46:20
136,0,20231011044x,2023-10-11,04:46:21,04:46:21
137,0,20231011044x,2023-10-11,04:46:22,04:46:22
138,0,20231011044x,2023-10-11,04:46:23,04:46:23
139,0,20231011044x,2023-10-11,04:46:24,04:46:24
140,0,20231011044x,2023-10-11,04:46:25,04:46:25
141,0,20231011044x,2023-10-11,04:46:26,04:46:26
142,1,20231011044x,2023-10-11,04:46:27,04:46:27
143,0,20231011044x,2023-10-11,04:46:28,04:46:28
144,0,20231011044x,2023-10-11,04:46:29,04:46:29
145,0,20231011044x,2023-10-11,04:46:30,04:46:30
146,0,20231011044x,2023-10-11,04:46:31,04:46:31
147,0,20231011044x,2023-10-11,04:46:32,04:46:32
148,0,20231011044x,2023-10-11,04:46:33,04:46:33
149,1,20231011044x,2023-10-11,04:46:34,04:46:34
150,0,20231011044x,2023-10-11,04:46:35,04:46:35
151,0,20231011044x,2023-10-11,04:46:36,04:46:36
152,0,20231011044x,2023-10-11,04:46:37,04:46:37
153,1,20231011044x,2023-10-11,04:46:38,04:46:38
154,0,20231011044x,2023-10-11,04:46:39,04:46:39
155,0,20231011044x,2023-10-11,04:46:40,04:46:40
156,0,20231011044x,2023-10-11,04:46:41,04:46:41
157,0,20231011044x,2023-10-11,04:46:42,04:46:42
158,0,20231011044x,2023-10-11,04:46:43,04:46:43
159,1,20231011044x,2023-10-11,04:46:44,04:46:44
160,0,20231011044x,2023-10-11,04:46:45,04:46:45
161,0,20231011044x,2023-10-11,04:46:46,04:46:46
162,0,20231011044x,2023-10-11,04:46:47,04:46:47
163,0,20231011044x,2023-10-11,04:46:48,04:46:48
164,0,20231011044x,2023-10-11,04:46:49,04:46:49
165,1,20231011044x,2023-10-11,04:46:50,04:46:50
166,0,20231011044x,2023-10-11,04:46:51,04:46:51
167,0,20231011044x,2023-10-11,04:46:52,04:46:52
168,1,20231011044x,2023-10-11,04:46:53,04:46:53
169,0,20231011044x,2023-10-11,04:46:54,04:46:54
170,0,20231011044x,2023-10-11,04:46:55,04:46:55
171,0,20231011044x,2023-10-11,04:46:56,04:46:56
172,0,20231011044x,2023-10-11,04:46:57,04:46:57
173,1,20231011044x,2023-10-11,04:46:58,04:46:58
174,0,20231011044x,2023-10-11,04:46:59,04:46:59
175,0,20231011044x,2023-10-11,04:47:00,04:47:00
176,0,20231011044x,2023-10-11,04:47:01,04:47:01
177,1,20231011044x,2023-10-11,04:47:02,04:47:02
178,1,20231011044x,2023-10-11,04:47:03,04:47:03
179,0,20231011044x,2023-10-11,04:47:04,04:47:04
180,1,20231011044x,2023-10-11,04:47:05,04:47:05
181,0,20231011044x,2023-10-11,04:47:06,04:47:06
182,0,20231011044x,2023-10-11,04:47:07,04:47:07
183,1,20231011044x,2023-10-11,04:47:08,04:47:08
184,1,20231011044x,2023-10-11,04:47:09,04:47:09
185,0,20231011044x,2023-10-11,04:47:10,04:47:10
186,0,20231011044x,2023-10-11,04:47:12,04:47:12
187,1,20231011044x,2023-10-11,04:47:13,04:47:13
188,0,20231011044x,2023-10-11,04:47:14,04:47:14
189,0,20231011044x,2023-10-11,04:47:15,04:47:15
190,0,20231011044x,2023-10-11,04:47:16,04:47:16
191,0,20231011044x,2023-10-11,04:47:17,04:47:17
192,0,20231011044x,2023-10-11,04:47:18,04:47:18
193,0,20231011044x,2023-10-11,04:47:19,04:47:19
194,0,20231011044x,2023-10-11,04:47:20,04:47:20
195,1,20231011044x,2023-10-11,04:47:21,04:47:21
196,0,20231011044x,2023-10-11,04:47:22,04:47:22
197,1,20231011044x,2023-10-11,04:47:23,04:47:23
198,0,20231011044x,2023-10-11,04:47:24,04:47:24
199,0,20231011044x,2023-10-11,04:47:25,04:47:25
200,0,20231011044x,2023-10-11,04:47:26,04:47:26
201,0,20231011044x,2023-10-11,04:47:27,04:47:27
202,1,20231011044x,2023-10-11,04:47:28,04:47:28
203,0,20231011044x,2023-10-11,04:47:29,04:47:29
204,0,20231011044x,2023-10-11,04:47:30,04:47:30
205,1,20231011044x,2023-10-11,04:47:31,04:47:31
206,0,20231011044x,2023-10-11,04:47:32,04:47:32
207,0,20231011044x,2023-10-11,04:47:33,04:47:33
208,0,20231011044x,2023-10-11,04:47:34,04:47:34
209,0,20231011044x,2023-10-11,04:47:35,04:47:35
210,0,20231011044x,2023-10-11,04:47:36,04:47:36
211,1,20231011044x,2023-10-11,04:47:37,04:47:37
212,0,20231011044x,2023-10-11,04:47:38,04:47:38
213,0,20231011044x,2023-10-11,04:47:39,04:47:39
214,1,20231011044x,2023-10-11,04:47:40,04:47:40
215,0,20231011044x,2023-10-11,04:47:41,04:47:41
216,0,20231011044x,2023-10-11,04:47:42,04:47:42
217,0,20231011044x,2023-10-11,04:47:43,04:47:43
218,1,20231011044x,2023-10-11,04:47:44,04:47:44
219,0,20231011044x,2023-10-11,04:47:45,04:47:45
220,0,20231011044x,2023-10-11,04:47:46,04:47:46
221,0,20231011044x,2023-10-11,04:47:47,04:47:47
222,0,20231011044x,2023-10-11,04:47:48,04:47:48
223,0,20231011044x,2023-10-11,04:47:49,04:47:49
224,0,20231011044x,2023-10-11,04:47:50,04:47:50
225,1,20231011044x,2023-10-11,04:47:51,04:47:51
226,0,20231011044x,2023-10-11,04:47:52,04:47:52
227,0,20231011044x,2023-10-11,04:47:53,04:47:53
228,1,20231011044x,2023-10-11,04:47:54,04:47:54
229,0,20231011044x,2023-10-11,04:47:55,04:47:55
230,0,20231011044x,2023-10-11,04:47:56,04:47:56
231,1,20231011044x,2023-10-11,04:47:57,04:47:57
232,0,20231011044x,2023-10-11,04:47:58,04:47:58
233,0,20231011044x,2023-10-11,04:47:59,04:47:59
234,0,20231011044x,2023-10-11,04:48:00,04:48:00
235,0,20231011044x,2023-10-11,04:48:01,04:48:01
236,0,20231011044x,2023-10-11,04:48:02,04:48:02
237,0,20231011044x,2023-10-11,04:48:03,04:48:03
238,1,20231011044x,2023-10-11,04:48:04,04:48:04
239,0,20231011044x,2023-10-11,04:48:05,04:48:05
240,0,20231011044x,2023-10-11,04:48:06,04:48:06
241,1,20231011044x,2023-10-11,04:48:07,04:48:07
242,0,20231011044x,2023-10-11,04:48:08,04:48:08
243,0,20231011044x,2023-10-11,04:48:09,04:48:09
244,0,20231011044x,2023-10-11,04:48:10,04:48:10
245,0,20231011044x,2023-10-11,04:48:11,04:48:11
246,0,20231011044x,2023-10-11,04:48:12,04:48:12
247,0,20231011044x,2023-10-11,04:48:13,04:48:13
248,0,20231011044x,2023-10-11,04:48:14,04:48:14
249,0,20231011044x,2023-10-11,04:48:15,04:48:15
250,0,20231011044x,2023-10-11,04:48:16,04:48:16
251,0,20231011044x,2023-10-11,04:48:17,04:48:17
252,0,20231011044x,2023-10-11,04:48:18,04:48:18
253,0,20231011044x,2023-10-11,04:48:19,04:48:19
254,0,20231011044x,2023-10-11,04:48:20,04:48:20
255,0,20231011044x,2023-10-11,04:48:21,04:48:21
256,0,20231011044x,2023-10-11,04:48:22,04:48:22
257,1,20231011044x,2023-10-11,04:48:23,04:48:23
258,0,20231011044x,2023-10-11,04:48:24,04:48:24
259,0,20231011044x,2023-10-11,04:48:25,04:48:25
260,0,20231011044x,2023-10-11,04:48:26,04:48:26
261,1,20231011044x,2023-10-11,04:48:27,04:48:27
262,0,20231011044x,2023-10-11,04:48:28,04:48:28
263,0,20231011044x,2023-10-11,04:48:29,04:48:29
264,1,20231011044x,2023-10-11,04:48:30,04:48:30
265,0,20231011044x,2023-10-11,04:48:31,04:48:31
266,0,20231011044x,2023-10-11,04:48:32,04:48:32
267,0,20231011044x,2023-10-11,04:48:33,04:48:33
268,2,20231011044x,2023-10-11,04:48:34,04:48:34
269,0,20231011044x,2023-10-11,04:48:35,04:48:35
270,2,20231011044x,2023-10-11,04:48:36,04:48:36
271,0,20231011044x,2023-10-11,04:48:37,04:48:37
272,0,20231011044x,2023-10-11,04:48:38,04:48:39
273,0,20231011044x,2023-10-11,04:48:40,04:48:40
274,0,20231011044x,2023-10-11,04:48:41,04:48:41
275,0,20231011044x,2023-10-11,04:48:42,04:48:42
276,0,20231011044x,2023-10-11,04:48:43,04:48:43
277,0,20231011044x,2023-10-11,04:48:44,04:48:44
278,1,20231011044x,2023-10-11,04:48:45,04:48:45
279,0,20231011044x,2023-10-11,04:48:46,04:48:46
280,0,20231011044x,2023-10-11,04:48:47,04:48:47
281,1,20231011044x,2023-10-11,04:48:48,04:48:48
282,0,20231011044x,2023-10-11,04:48:49,04:48:49
283,0,20231011044x,2023-10-11,04:48:50,04:48:50
284,0,20231011044x,2023-10-11,04:48:51,04:48:51
285,0,20231011044x,2023-10-11,04:48:52,04:48:52
286,0,20231011044x,2023-10-11,04:48:53,04:48:53
287,1,20231011044x,2023-10-11,04:48:54,04:48:54
288,0,20231011044x,2023-10-11,04:48:55,04:48:55
289,0,20231011044x,2023-10-11,04:48:56,04:48:56
290,0,20231011044x,2023-10-11,04:48:57,04:48:57
291,0,20231011044x,2023-10-11,04:48:58,04:48:58
292,0,20231011044x,2023-10-11,04:48:59,04:48:59
293,0,20231011044x,2023-10-11,04:49:00,04:49:00
294,0,20231011044x,2023-10-11,04:49:01,04:49:01
295,0,20231011044x,2023-10-11,04:49:02,04:49:02
296,0,20231011044x,2023-10-11,04:49:03,04:49:03
297,0,20231011044x,2023-10-11,04:49:04,04:49:04
298,0,20231011044x,2023-10-11,04:49:05,04:49:05
299,0,20231011044x,2023-10-11,04:49:06,04:49:06
300,0,20231011044x,2023-10-11,04:49:07,04:49:07
301,0,20231011044x,2023-10-11,04:49:08,04:49:08
302,0,20231011044x,2023-10-11,04:49:09,04:49:09
303,0,20231011044x,2023-10-11,04:49:10,04:49:10
304,0,20231011044x,2023-10-11,04:49:11,04:49:11
305,0,20231011044x,2023-10-11,04:49:12,04:49:12
306,0,20231011044x,2023-10-11,04:49:13,04:49:13
307,0,20231011044x,2023-10-11,04:49:14,04:49:14
308,0,20231011044x,2023-10-11,04:49:15,04:49:15
309,0,20231011044x,2023-10-11,04:49:16,04:49:16
310,0,20231011044x,2023-10-11,04:49:17,04:49:17
311,0,20231011044x,2023-10-11,04:49:18,04:49:18
312,0,20231011044x,2023-10-11,04:49:19,04:49:19
313,0,20231011044x,2023-10-11,04:49:20,04:49:20
314,0,20231011044x,2023-10-11,04:49:21,04:49:21
315,0,20231011044x,2023-10-11,04:49:22,04:49:22
316,1,20231011044x,2023-10-11,04:49:23,04:49:23
317,0,20231011044x,2023-10-11,04:49:24,04:49:24
318,0,20231011044x,2023-10-11,04:49:25,04:49:25
319,0,20231011044x,2023-10-11,04:49:26,04:49:26
320,0,20231011044x,2023-10-11,04:49:27,04:49:27
321,0,20231011044x,2023-10-11,04:49:28,04:49:28
322,0,20231011044x,2023-10-11,04:49:29,04:49:29
323,3,20231011044x,2023-10-11,04:49:30,04:49:30
324,0,20231011044x,2023-10-11,04:49:31,04:49:31
325,0,20231011044x,2023-10-11,04:49:32,04:49:32
326,2,20231011044x,2023-10-11,04:49:33,04:49:33
327,0,20231011044x,2023-10-11,04:49:34,04:49:34
328,0,20231011044x,2023-10-11,04:49:35,04:49:35
329,0,20231011044x,2023-10-11,04:49:36,04:49:36
330,0,20231011044x,2023-10-11,04:49:37,04:49:37
331,0,20231011044x,2023-10-11,04:49:38,04:49:38
332,0,20231011044x,2023-10-11,04:49:39,04:49:39
333,0,20231011044x,2023-10-11,04:49:40,04:49:40
334,0,20231011044x,2023-10-11,04:49:41,04:49:41
335,0,20231011044x,2023-10-11,04:49:42,04:49:42
336,0,20231011044x,2023-10-11,04:49:43,04:49:43
337,2,20231011044x,2023-10-11,04:49:44,04:49:44
338,1,20231011044x,2023-10-11,04:49:45,04:49:45
339,0,20231011044x,2023-10-11,04:49:46,04:49:46
340,0,20231011044x,2023-10-11,04:49:47,04:49:47
341,0,20231011044x,2023-10-11,04:49:48,04:49:48
342,1,20231011044x,2023-10-11,04:49:49,04:49:49
343,0,20231011044x,2023-10-11,04:49:50,04:49:50
344,0,20231011044x,2023-10-11,04:49:51,04:49:51
345,1,20231011044x,2023-10-11,04:49:52,04:49:52
346,0,20231011044x,2023-10-11,04:49:53,04:49:53
347,0,20231011044x,2023-10-11,04:49:54,04:49:54
348,1,20231011044x,2023-10-11,04:49:55,04:49:55
349,0,20231011044x,2023-10-11,04:49:56,04:49:56
350,0,20231011044x,2023-10-11,04:49:57,04:49:57
351,0,20231011044x,2023-10-11,04:49:58,04:49:58
352,0,20231011044x,2023-10-11,04:49:59,04:49:59
353,0,20231011045x,2023-10-11,04:50:00,04:50:00
354,0,20231011045x,2023-10-11,04:50:01,04:50:01
355,0,20231011045x,2023-10-11,04:50:02,04:50:02
356,0,20231011045x,2023-10-11,04:50:03,04:50:03
357,0,20231011045x,2023-10-11,04:50:04,04:50:04
358,0,20231011045x,2023-10-11,04:50:05,04:50:05
359,1,20231011045x,2023-10-11,04:50:06,04:50:06
360,0,20231011045x,2023-10-11,04:50:07,04:50:07
361,0,20231011045x,2023-10-11,04:50:08,04:50:08
362,2,20231011045x,2023-10-11,04:50:09,04:50:09
363,1,20231011045x,2023-10-11,04:50:11,04:50:11
364,0,20231011045x,2023-10-11,04:50:12,04:50:12
365,0,20231011045x,2023-10-11,04:50:13,04:50:13
366,0,20231011045x,2023-10-11,04:50:14,04:50:14
367,0,20231011045x,2023-10-11,04:50:15,04:50:15
368,0,20231011045x,2023-10-11,04:50:16,04:50:16
369,0,20231011045x,2023-10-11,04:50:17,04:50:17
370,0,20231011045x,2023-10-11,04:50:18,04:50:18
371,0,20231011045x,2023-10-11,04:50:19,04:50:19
372,0,20231011045x,2023-10-11,04:50:20,04:50:20
373,0,20231011045x,2023-10-11,04:50:21,04:50:21
374,1,20231011045x,2023-10-11,04:50:22,04:50:22
375,0,20231011045x,2023-10-11,04:50:23,04:50:23
376,0,20231011045x,2023-10-11,04:50:24,04:50:24
377,1,20231011045x,2023-10-11,04:50:25,04:50:25
378,0,20231011045x,2023-10-11,04:50:26,04:50:26
379,0,20231011045x,2023-10-11,04:50:27,04:50:27
380,0,20231011045x,2023-10-11,04:50:28,04:50:28
381,0,20231011045x,2023-10-11,04:50:29,04:50:29
382,0,20231011045x,2023-10-11,04:50:30,04:50:30
383,0,20231011045x,2023-10-11,04:50:31,04:50:31
384,0,20231011045x,2023-10-11,04:50:32,04:50:32
385,0,20231011045x,2023-10-11,04:50:33,04:50:33
386,0,20231011045x,2023-10-11,04:50:34,04:50:34
387,0,20231011045x,2023-10-11,04:50:35,04:50:35
388,1,20231011045x,2023-10-11,04:50:36,04:50:36
389,0,20231011045x,2023-10-11,04:50:37,04:50:37
390,0,20231011045x,2023-10-11,04:50:38,04:50:38
391,0,20231011045x,2023-10-11,04:50:39,04:50:39
392,0,20231011045x,2023-10-11,04:50:40,04:50:40
393,0,20231011045x,2023-10-11,04:50:41,04:50:41
394,1,20231011045x,2023-10-11,04:50:42,04:50:42
395,0,20231011045x,2023-10-11,04:50:43,04:50:43
396,0,20231011045x,2023-10-11,04:50:44,04:50:44
397,0,20231011045x,2023-10-11,04:50:45,04:50:45
398,1,20231011045x,2023-10-11,04:50:46,04:50:46
399,0,20231011045x,2023-10-11,04:50:47,04:50:47
400,0,20231011045x,2023-10-11,04:50:48,04:50:48
401,0,20231011045x,2023-10-11,04:50:49,04:50:49
402,0,20231011045x,2023-10-11,04:50:50,04:50:50
403,1,20231011045x,2023-10-11,04:50:51,04:50:51
404,0,20231011045x,2023-10-11,04:50:52,04:50:52
405,0,20231011045x,2023-10-11,04:50:53,04:50:53
406,0,20231011045x,2023-10-11,04:50:54,04:50:54
407,1,20231011045x,2023-10-11,04:50:55,04:50:55
408,0,20231011045x,2023-10-11,04:50:56,04:50:56
409,0,20231011045x,2023-10-11,04:50:57,04:50:57
410,0,20231011045x,2023-10-11,04:50:58,04:50:58
411,0,20231011045x,2023-10-11,04:50:59,04:50:59
412,0,20231011045x,2023-10-11,04:51:00,04:51:00
413,0,20231011045x,2023-10-11,04:51:01,04:51:01
414,0,20231011045x,2023-10-11,04:51:02,04:51:02
415,0,20231011045x,2023-10-11,04:51:03,04:51:03
416,0,20231011045x,2023-10-11,04:51:04,04:51:04
417,0,20231011045x,2023-10-11,04:51:05,04:51:05
418,0,20231011045x,2023-10-11,04:51:06,04:51:06
419,0,20231011045x,2023-10-11,04:51:07,04:51:07
420,0,20231011045x,2023-10-11,04:51:08,04:51:08
421,1,20231011045x,2023-10-11,04:51:09,04:51:09
422,0,20231011045x,2023-10-11,04:51:10,04:51:10
423,0,20231011045x,2023-10-11,04:51:11,04:51:11
424,1,20231011045x,2023-10-11,04:51:12,04:51:12
425,0,20231011045x,2023-10-11,04:51:13,04:51:13
426,0,20231011045x,2023-10-11,04:51:14,04:51:14
427,0,20231011045x,2023-10-11,04:51:15,04:51:15
428,0,20231011045x,2023-10-11,04:51:16,04:51:16
429,0,20231011045x,2023-10-11,04:51:17,04:51:17
430,0,20231011045x,2023-10-11,04:51:18,04:51:18
431,0,20231011045x,2023-10-11,04:51:19,04:51:19
432,0,20231011045x,2023-10-11,04:51:20,04:51:20
433,0,20231011045x,2023-10-11,04:51:21,04:51:21
434,0,20231011045x,2023-10-11,04:51:22,04:51:22
435,1,20231011045x,2023-10-11,04:51:23,04:51:23
436,0,20231011045x,2023-10-11,04:51:24,04:51:24
437,0,20231011045x,2023-10-11,04:51:25,04:51:25
438,0,20231011045x,2023-10-11,04:51:26,04:51:26
439,0,20231011045x,2023-10-11,04:51:27,04:51:27
440,0,20231011045x,2023-10-11,04:51:28,04:51:28
441,1,20231011045x,2023-10-11,04:51:29,04:51:29
442,0,20231011045x,2023-10-11,04:51:30,04:51:30
443,0,20231011045x,2023-10-11,04:51:31,04:51:31
444,0,20231011045x,2023-10-11,04:51:32,04:51:32
445,1,20231011045x,2023-10-11,04:51:33,04:51:33
446,0,20231011045x,2023-10-11,04:51:34,04:51:34
447,0,20231011045x,2023-10-11,04:51:35,04:51:35
448,0,20231011045x,2023-10-11,04:51:36,04:51:36
449,0,20231011045x,2023-10-11,04:51:37,04:51:37
450,1,20231011045x,2023-10-11,04:51:38,04:51:38
451,0,20231011045x,2023-10-11,04:51:39,04:51:39
452,0,20231011045x,2023-10-11,04:51:40,04:51:40
453,0,20231011045x,2023-10-11,04:51:42,04:51:42
454,1,20231011045x,2023-10-11,04:51:43,04:51:43
455,0,20231011045x,2023-10-11,04:51:44,04:51:44
456,0,20231011045x,2023-10-11,04:51:45,04:51:45
457,0,20231011045x,2023-10-11,04:51:46,04:51:46
458,0,20231011045x,2023-10-11,04:51:47,04:51:47
459,0,20231011045x,2023-10-11,04:51:48,04:51:48
460,0,20231011045x,2023-10-11,04:51:49,04:51:49
461,1,20231011045x,2023-10-11,04:51:50,04:51:50
462,0,20231011045x,2023-10-11,04:51:51,04:51:51
463,0,20231011045x,2023-10-11,04:51:52,04:51:52
464,0,20231011045x,2023-10-11,04:51:53,04:51:53
465,0,20231011045x,2023-10-11,04:51:54,04:51:54
466,0,20231011045x,2023-10-11,04:51:55,04:51:55
467,0,20231011045x,2023-10-11,04:51:56,04:51:56
468,1,20231011045x,2023-10-11,04:51:57,04:51:57
469,0,20231011045x,2023-10-11,04:51:58,04:51:58
470,0,20231011045x,2023-10-11,04:51:59,04:51:59
471,0,20231011045x,2023-10-11,04:52:00,04:52:00
472,0,20231011045x,2023-10-11,04:52:01,04:52:01
473,1,20231011045x,2023-10-11,04:52:02,04:52:02
474,0,20231011045x,2023-10-11,04:52:03,04:52:03
475,1,20231011045x,2023-10-11,04:52:04,04:52:04
476,0,20231011045x,2023-10-11,04:52:05,04:52:05
477,0,20231011045x,2023-10-11,04:52:06,04:52:06
478,0,20231011045x,2023-10-11,04:52:07,04:52:07
479,0,20231011045x,2023-10-11,04:52:08,04:52:08
480,0,20231011045x,2023-10-11,04:52:09,04:52:09
481,0,20231011045x,2023-10-11,04:52:10,04:52:10
