name,eye_cnt,diff,start_time,end_time,date
main.exe,1,0.0166665762662888,15:03:12,15:03:13,2023-07-18
whale.exe,1,0.0166665762662888,15:03:54,15:03:55,2023-07-18
electron.exe,0,0.299999713897705,15:04:03,15:04:21,2023-07-18
whale.exe,1,0.0166665762662888,15:06:03,15:06:04,2023-07-18
electron.exe,2,0.0166672468185425,15:06:07,15:06:08,2023-07-18
whale.exe,1,0.0166665762662888,15:06:10,15:06:11,2023-07-18
Code.exe,0,0.0333331525325775,15:06:24,15:06:26,2023-07-18
whale.exe,1,0.05000039935112,15:06:28,15:06:31,2023-07-18
explorer.exe,0,0.0166665762662888,15:06:31,15:06:32,2023-07-18
Code.exe,1,0.0166665762662888,15:06:32,15:06:33,2023-07-18
main.exe,0,0.0166672468185425,15:06:36,15:06:37,2023-07-18
e,1,0.0166665762662888,15:06:37,15:06:38,2023-07-18
electron.exe,2,0.166666433215141,15:06:38,15:06:48,2023-07-18
Code.exe,0,0.0333338230848312,15:06:58,15:07:00,2023-07-18
whale.exe,1,0.0166665762662888,15:07:59,15:08:00,2023-07-18
ShellExperienceHost.exe,0,0.0499997287988663,15:32:05,15:32:08,2023-07-18
main.exe,2,0.866666659712791,14:08:54,14:09:46,2023-07-19
main.exe,0,0.0,14:09:46,14:09:46,2023-07-19
main.exe,0,0.0333331525325775,14:09:46,14:09:48,2023-07-19
main.exe,0,0.0,14:09:48,14:09:48,2023-07-19
main.exe,0,0.0,14:09:48,14:09:48,2023-07-19
main.exe,0,0.0499997287988663,14:09:48,14:09:51,2023-07-19
main.exe,1,0.05000039935112,14:09:51,14:09:54,2023-07-19
electron.exe,1,0.0166665762662888,14:09:54,14:09:55,2023-07-19
electron.exe,0,0.0,14:09:55,14:09:55,2023-07-19
electron.exe,0,0.0166665762662888,14:09:55,14:09:56,2023-07-19
electron.exe,1,0.0166665762662888,14:09:56,14:09:57,2023-07-19
main.exe,3,0.0666669756174088,14:09:57,14:10:01,2023-07-19
electron.exe,6,0.18333300948143,14:10:01,14:10:12,2023-07-19
electron.exe,30,0.733333379030228,14:10:12,14:10:56,2023-07-19
SearchApp.exe,1,0.0333331525325775,14:10:56,14:10:58,2023-07-19
whale.exe,1,0.100000128149986,14:10:58,14:11:04,2023-07-19
whale.exe,9,0.499999970197678,14:11:04,14:11:34,2023-07-19
whale.exe,8,0.216666832566261,14:11:34,14:11:47,2023-07-19
whale.exe,2,0.116666704416275,14:11:47,14:11:54,2023-07-19
whale.exe,1,0.0166665762662888,14:11:54,14:11:55,2023-07-19
whale.exe,0,0.0,14:11:55,14:11:55,2023-07-19
explorer.exe,0,0.0499997287988663,14:11:55,14:11:58,2023-07-19
explorer.exe,0,0.0166672468185425,14:11:58,14:11:59,2023-07-19
explorer.exe,0,0.0,14:11:59,14:11:59,2023-07-19
explorer.exe,0,0.0,14:11:59,14:11:59,2023-07-19
explorer.exe,0,0.0499997287988663,14:11:59,14:12:02,2023-07-19
explorer.exe,0,0.0,14:12:02,14:12:02,2023-07-19
Spotify.exe,0,0.0,14:12:02,14:12:02,2023-07-19
Spotify.exe,0,0.0166665762662888,14:12:02,14:12:03,2023-07-19
Spotify.exe,0,0.0166665762662888,14:12:03,14:12:04,2023-07-19
Spotify.exe,0,0.0,14:12:04,14:12:04,2023-07-19
Spotify.exe,0,0.0166665762662888,14:12:04,14:12:05,2023-07-19
Spotify.exe,0,0.0,14:12:05,14:12:05,2023-07-19
Spotify.exe,0,0.0166672468185425,14:12:05,14:12:06,2023-07-19
Spotify.exe,1,0.116666033864021,14:12:06,14:12:13,2023-07-19
whale.exe,2,0.23333340883255,14:12:13,14:12:27,2023-07-19
whale.exe,0,0.0166672468185425,14:12:27,14:12:28,2023-07-19
whale.exe,0,0.0,14:12:28,14:12:28,2023-07-19
whale.exe,0,0.0166665762662888,14:12:28,14:12:29,2023-07-19
whale.exe,0,0.0333331525325775,14:12:29,14:12:31,2023-07-19
whale.exe,0,0.0,14:12:31,14:12:31,2023-07-19
whale.exe,0,0.0,14:12:31,14:12:31,2023-07-19
whale.exe,0,0.0166665762662888,14:12:31,14:12:32,2023-07-19
whale.exe,0,0.0166665762662888,14:12:32,14:12:33,2023-07-19
whale.exe,0,0.0,14:12:33,14:12:33,2023-07-19
whale.exe,0,0.0,14:12:33,14:12:33,2023-07-19
whale.exe,0,0.0166665762662888,14:12:33,14:12:34,2023-07-19
whale.exe,0,0.0,14:12:34,14:12:34,2023-07-19
whale.exe,0,0.0,14:12:34,14:12:34,2023-07-19
whale.exe,0,0.0166665762662888,14:12:34,14:12:35,2023-07-19
whale.exe,0,0.0,14:12:35,14:12:35,2023-07-19
whale.exe,0,0.0,14:12:35,14:12:35,2023-07-19
whale.exe,0,0.0,14:12:35,14:12:35,2023-07-19
whale.exe,0,0.100000128149986,14:12:35,14:12:41,2023-07-19
whale.exe,0,0.0,14:12:41,14:12:41,2023-07-19
whale.exe,1,0.0166665762662888,14:12:41,14:12:42,2023-07-19
whale.exe,1,0.0333338230848312,14:12:42,14:12:44,2023-07-19
main.exe,1,0.0166665762662888,14:12:44,14:12:45,2023-07-19
whale.exe,0,0.0,14:12:45,14:12:45,2023-07-19
electron.exe,0,0.0166665762662888,14:12:45,14:12:46,2023-07-19
main.exe,1,0.0499997287988663,14:12:46,14:12:49,2023-07-19
main.exe,0,0.0333338230848312,14:12:49,14:12:51,2023-07-19
main.exe,0,0.0166665762662888,14:12:51,14:12:52,2023-07-19
main.exe,0,0.0,14:12:52,14:12:52,2023-07-19
main.exe,0,0.0166665762662888,14:12:52,14:12:53,2023-07-19
main.exe,0,0.0,14:12:53,14:12:53,2023-07-19
main.exe,0,0.0166665762662888,14:12:53,14:12:54,2023-07-19
main.exe,1,0.0499997287988663,14:12:54,14:12:57,2023-07-19
main.exe,0,0.0166672468185425,14:12:57,14:12:58,2023-07-19
main.exe,0,0.0166665762662888,14:12:58,14:12:59,2023-07-19
main.exe,0,0.0,14:12:59,14:12:59,2023-07-19
main.exe,0,0.0166665762662888,14:12:59,14:13:00,2023-07-19
main.exe,0,0.0166665762662888,14:13:00,14:13:01,2023-07-19
main.exe,0,0.0,14:13:01,14:13:01,2023-07-19
main.exe,1,0.0333331525325775,14:13:01,14:13:03,2023-07-19
main.exe,0,0.0,14:13:03,14:13:03,2023-07-19
main.exe,1,0.0333331525325775,14:13:03,14:13:05,2023-07-19
main.exe,0,0.05000039935112,14:13:05,14:13:08,2023-07-19
main.exe,1,0.066666305065155,14:13:08,14:13:12,2023-07-19
main.exe,2,0.0666669756174088,14:13:12,14:13:16,2023-07-19
electron.exe,0,0.0166665762662888,14:13:16,14:13:17,2023-07-19
electron.exe,0,0.0166665762662888,14:13:17,14:13:18,2023-07-19
electron.exe,0,0.0,14:13:18,14:13:18,2023-07-19
electron.exe,0,0.0666669756174088,14:13:18,14:13:22,2023-07-19
electron.exe,0,0.0166665762662888,14:13:22,14:13:23,2023-07-19
electron.exe,0,0.0166665762662888,14:13:23,14:13:24,2023-07-19
electron.exe,0,0.0166665762662888,14:13:24,14:13:25,2023-07-19
electron.exe,1,0.0333331525325775,14:13:25,14:13:27,2023-07-19
ScreenClippingHost.exe,3,0.100000128149986,14:13:27,14:13:33,2023-07-19
electron.exe,0,0.0166665762662888,14:13:33,14:13:34,2023-07-19
whale.exe,3,0.100000128149986,14:13:34,14:13:40,2023-07-19
ShellExperienceHost.exe,0,0.0,14:13:40,14:13:40,2023-07-19
ApplicationFrameHost.exe,2,0.05000039935112,14:13:40,14:13:43,2023-07-19
whale.exe,19,0.499999970197678,14:13:43,14:14:13,2023-07-19
electron.exe,2,0.116666704416275,14:14:13,14:14:20,2023-07-19
electron.exe,0,0.0,14:14:20,14:14:20,2023-07-19
electron.exe,1,0.0499997287988663,14:14:20,14:14:23,2023-07-19
ScreenClippingHost.exe,0,0.0333331525325775,14:14:23,14:14:25,2023-07-19
ScreenClippingHost.exe,0,0.0,14:14:25,14:14:25,2023-07-19
ScreenClippingHost.exe,0,0.0166665762662888,14:14:25,14:14:26,2023-07-19
electron.exe,1,0.0166672468185425,14:14:26,14:14:27,2023-07-19
whale.exe,6,0.516666546463966,14:14:27,14:14:58,2023-07-19
whale.exe,7,0.399999842047691,14:14:58,14:15:22,2023-07-19
whale.exe,9,0.483333393931389,14:15:22,14:15:51,2023-07-19
whale.exe,1,0.283333137631416,14:15:51,14:16:08,2023-07-19
explorer.exe,0,0.0166665762662888,14:16:08,14:16:09,2023-07-19
main.exe,0,0.0833335518836975,14:16:09,14:16:14,2023-07-19
main.exe,2,0.0666669756174088,14:16:14,14:16:18,2023-07-19
main.exe,0,0.0333331525325775,14:16:18,14:16:20,2023-07-19
whale.exe,15,0.449999570846558,14:16:20,14:16:47,2023-07-19
whale.exe,1,0.0166672468185425,14:16:47,14:16:48,2023-07-19
whale.exe,0,0.066666305065155,14:16:48,14:16:52,2023-07-19
whale.exe,1,0.0166665762662888,14:16:52,14:16:53,2023-07-19
whale.exe,0,0.0,14:16:53,14:16:53,2023-07-19
explorer.exe,0,0.0,14:16:53,14:16:53,2023-07-19
Code.exe,1,0.0833335518836975,14:16:53,14:16:58,2023-07-19
Code.exe,1,0.0,14:16:58,14:16:58,2023-07-19
explorer.exe,2,0.066666305065155,14:16:58,14:17:02,2023-07-19
electron.exe,0,0.0833335518836975,14:17:02,14:17:07,2023-07-19
SearchApp.exe,1,0.0166665762662888,14:17:07,14:17:08,2023-07-19
explorer.exe,0,0.0166665762662888,14:17:08,14:17:09,2023-07-19
Figma.exe,1,0.51666721701622,14:17:09,14:17:40,2023-07-19
explorer.exe,0,0.0,14:17:40,14:17:40,2023-07-19
electron.exe,4,0.349999442696571,14:17:40,14:18:01,2023-07-19
Figma.exe,4,0.116666704416275,14:18:01,14:18:08,2023-07-19
Code.exe,13,0.850000083446503,14:18:08,14:18:59,2023-07-19
electron.exe,0,0.166667103767395,14:18:59,14:19:09,2023-07-19
Code.exe,2,0.18333300948143,14:19:09,14:19:20,2023-07-19
Code.exe,0,0.0166665762662888,14:19:20,14:19:21,2023-07-19
Code.exe,0,0.0,14:19:21,14:19:21,2023-07-19
Code.exe,1,0.05000039935112,14:19:21,14:19:24,2023-07-19
Code.exe,0,0.0,14:19:24,14:19:24,2023-07-19
Code.exe,0,0.0166665762662888,14:19:24,14:19:25,2023-07-19
Code.exe,1,0.0,14:19:25,14:19:25,2023-07-19
Code.exe,1,0.116666704416275,14:19:25,14:19:32,2023-07-19
whale.exe,4,0.166666433215141,14:19:32,14:19:42,2023-07-19
whale.exe,24,0.749999955296516,14:19:42,14:20:27,2023-07-19
Code.exe,17,0.433333665132523,14:20:27,14:20:53,2023-07-19
Code.exe,0,0.0,14:20:53,14:20:53,2023-07-19
Code.exe,0,0.0499997287988663,14:20:53,14:20:56,2023-07-19
Code.exe,1,0.0,14:20:56,14:20:56,2023-07-19
Code.exe,0,0.0166665762662888,14:20:56,14:20:57,2023-07-19
Code.exe,1,0.0166665762662888,14:20:57,14:20:58,2023-07-19
Code.exe,9,0.533333793282509,14:20:58,14:21:30,2023-07-19
Code.exe,0,0.316666290163994,14:21:30,14:21:49,2023-07-19
Code.exe,2,0.0166665762662888,14:21:49,14:21:50,2023-07-19
whale.exe,0,0.300000384449959,14:21:50,14:22:08,2023-07-19
whale.exe,0,0.0333331525325775,14:22:08,14:22:10,2023-07-19
Code.exe,0,0.0166665762662888,14:22:10,14:22:11,2023-07-19
Code.exe,0,0.0,14:22:11,14:22:11,2023-07-19
Code.exe,0,0.100000128149986,14:22:11,14:22:17,2023-07-19
Code.exe,0,0.066666305065155,14:22:17,14:22:21,2023-07-19
Code.exe,0,0.0333338230848312,14:22:21,14:22:23,2023-07-19
Code.exe,0,0.0833328813314438,14:22:23,14:22:28,2023-07-19
whale.exe,15,0.733333379030228,14:22:28,14:23:12,2023-07-19
whale.exe,0,0.0,14:23:12,14:23:12,2023-07-19
whale.exe,0,0.0,14:23:12,14:23:12,2023-07-19
whale.exe,0,0.333333536982536,14:23:12,14:23:32,2023-07-19
whale.exe,0,0.0,14:23:32,14:23:32,2023-07-19
whale.exe,1,0.0499997287988663,14:23:32,14:23:35,2023-07-19
whale.exe,0,0.0166672468185425,14:23:35,14:23:36,2023-07-19
whale.exe,3,0.166666433215141,14:23:36,14:23:46,2023-07-19
whale.exe,0,0.350000113248825,14:23:46,14:24:07,2023-07-19
whale.exe,4,0.116666704416275,14:24:07,14:24:14,2023-07-19
whale.exe,1,0.0499997287988663,14:24:14,14:24:17,2023-07-19
whale.exe,1,0.0,14:24:17,14:24:17,2023-07-19
whale.exe,0,0.133333280682564,14:24:17,14:24:25,2023-07-19
whale.exe,0,0.05000039935112,14:24:25,14:24:28,2023-07-19
whale.exe,0,0.0,14:24:28,14:24:28,2023-07-19
whale.exe,0,0.0166665762662888,14:24:28,14:24:29,2023-07-19
whale.exe,0,0.0,14:24:29,14:24:29,2023-07-19
whale.exe,0,0.0,14:24:29,14:24:29,2023-07-19
whale.exe,0,0.0166665762662888,14:24:29,14:24:30,2023-07-19
whale.exe,2,0.100000128149986,14:24:30,14:24:36,2023-07-19
whale.exe,1,0.799999684095383,14:24:36,14:25:24,2023-07-19
whale.exe,3,0.116666704416275,14:25:24,14:25:31,2023-07-19
whale.exe,0,0.0,14:25:31,14:25:31,2023-07-19
Code.exe,0,0.899999812245369,14:25:31,14:26:25,2023-07-19
Code.exe,0,0.0,14:26:25,14:26:25,2023-07-19
Code.exe,4,0.05000039935112,14:26:25,14:26:28,2023-07-19
Code.exe,0,0.0166665762662888,14:26:28,14:26:29,2023-07-19
Code.exe,0,0.0,14:26:29,14:26:29,2023-07-19
Code.exe,0,0.0166665762662888,14:26:29,14:26:30,2023-07-19
whale.exe,8,0.216666832566261,14:26:30,14:26:43,2023-07-19
whale.exe,0,0.0,14:26:43,14:26:43,2023-07-19
whale.exe,0,0.0166665762662888,14:26:43,14:26:44,2023-07-19
